Direction,Type,Target,n_estimators,Score,Time_s
LONG,Classification,class_target_1,50,0.6832180915264683,40.964221715927124
LONG,Classification,class_target_1,100,0.6878672570252082,80.89343428611755
LONG,Classification,class_target_1,150,0.6884400168171517,116.1851077079773
LONG,Classification,class_target_1,200,0.6888740799421678,154.50817227363586
LONG,Classification,class_target_1,300,0.6893934817474351,234.10996294021606
LONG,Classification,class_target_2,50,0.742140516749591,48.611249685287476
LONG,Classification,class_target_2,100,0.7438394584843143,95.1223828792572
LONG,Classification,class_target_2,150,0.7441530156036539,144.75107645988464
LONG,Classification,class_target_2,200,0.7446700193664213,188.24454021453857
LONG,Classification,class_target_2,300,0.7445814974168515,285.76291131973267
LONG,Classification,class_target_3_corrected,50,0.8698898713321042,7.886291265487671
LONG,Classification,class_target_3_corrected,100,0.8709086956570852,13.61278510093689
LONG,Classification,class_target_3_corrected,150,0.8710908986478015,20.526200771331787
LONG,Classification,class_target_3_corrected,200,0.8712751630080081,25.874740600585938
LONG,Classification,class_target_3_corrected,300,0.8713566540006786,37.97431755065918
LONG,Classification,class_target_bad,50,0.8206362810632989,9.352002620697021
LONG,Classification,class_target_bad,100,0.8220930213530918,17.2506365776062
LONG,Classification,class_target_bad,150,0.8222323602964543,24.974518060684204
LONG,Classification,class_target_bad,200,0.8223305025628033,32.59541130065918
LONG,Classification,class_target_bad,300,0.822308878925589,48.44222974777222
SHORT,Classification,class_target_1,50,0.6933208927698798,49.271827936172485
SHORT,Classification,class_target_1,100,0.6966413611435428,97.8538327217102
SHORT,Classification,class_target_1,150,0.69729106507795,144.3739297389984
SHORT,Classification,class_target_1,200,0.6980028507811578,191.34114336967468
SHORT,Classification,class_target_1,300,0.6986452380415819,283.07299160957336
SHORT,Classification,class_target_2,50,0.7442320847144198,48.348042488098145
SHORT,Classification,class_target_2,100,0.7465760165128701,93.79364132881165
SHORT,Classification,class_target_2,150,0.7479525070377405,139.25088500976562
SHORT,Classification,class_target_2,200,0.7481961216156682,184.91771268844604
SHORT,Classification,class_target_2,300,0.7486566603911443,281.5764162540436
SHORT,Classification,class_target_3_corrected,50,0.8767783677698382,7.974416494369507
SHORT,Classification,class_target_3_corrected,100,0.8773483161225922,14.482400894165039
SHORT,Classification,class_target_3_corrected,150,0.8779028907116387,21.05791664123535
SHORT,Classification,class_target_3_corrected,200,0.8778184470841914,27.670231103897095
SHORT,Classification,class_target_3_corrected,300,0.8780041848172621,40.910428047180176
SHORT,Classification,class_target_bad,50,0.8302988781711289,7.4795310497283936
SHORT,Classification,class_target_bad,100,0.8310831212399495,13.658742904663086
SHORT,Classification,class_target_bad,150,0.8315360905997358,19.494192600250244
SHORT,Classification,class_target_bad,200,0.8319546088051422,25.39349365234375
SHORT,Classification,class_target_bad,300,0.8324298296007548,38.080227851867676
LONG,Regression,profit,50,0.10996909059881554,6.766722917556763
LONG,Regression,profit,100,0.11669484320288097,11.896326065063477
LONG,Regression,profit,150,0.11813503669857425,17.624555826187134
LONG,Regression,profit,200,0.11788551531647291,22.894221782684326
LONG,Regression,profit,300,0.11782640710894417,34.53178286552429
LONG,Regression,quality,50,0.03725931303214212,4.900585889816284
LONG,Regression,quality,100,0.04348964719607962,8.770702838897705
LONG,Regression,quality,150,0.043831020964534305,12.667204856872559
LONG,Regression,quality,200,0.04422217115727809,16.315036296844482
LONG,Regression,quality,300,0.04313386516543014,24.20793652534485
LONG,Regression,danger,50,0.5333117322004274,15.21312952041626
LONG,Regression,danger,100,0.5337951515911203,28.292631149291992
LONG,Regression,danger,150,0.5343064274036399,42.270418643951416
LONG,Regression,danger,200,0.5345425140107355,55.82695746421814
LONG,Regression,danger,300,0.5344557005505891,83.53197407722473
LONG,Regression,entry_timing,50,0.013705279731497377,4.897378444671631
LONG,Regression,entry_timing,100,0.014135781664143,8.641035079956055
LONG,Regression,entry_timing,150,0.014050726508832522,12.540684938430786
LONG,Regression,entry_timing,200,0.014144676381628996,16.113695859909058
LONG,Regression,entry_timing,300,0.014159869614923992,24.168237924575806
LONG,Regression,exit_timing,50,0.04065239947786643,33.14270305633545
LONG,Regression,exit_timing,100,0.04095729998995508,62.40137505531311
