iter	Logloss
0	0.6813170388
1	0.6702190782
2	0.6610509484
3	0.6522481272
4	0.644187759
5	0.6376741766
6	0.6311027869
7	0.6253896458
8	0.6202546094
9	0.6155073291
10	0.6111805912
11	0.6072637051
12	0.6036782168
13	0.6007431057
14	0.5979619408
15	0.5955593999
16	0.5933464854
17	0.5913956316
18	0.5893161815
19	0.5874787038
20	0.5859483942
21	0.5844419965
22	0.5830962205
23	0.5817953837
24	0.580617557
25	0.5795422501
26	0.5785910405
27	0.5776337608
28	0.5767437848
29	0.5759099261
30	0.575047406
31	0.5744545637
32	0.573765775
33	0.5731388042
34	0.5725160222
35	0.571994588
36	0.5714547177
37	0.5711011977
38	0.5707286258
39	0.5703804691
40	0.5700105556
41	0.5696793117
42	0.5693594127
43	0.5689938271
44	0.5685884442
45	0.5683081594
46	0.5680442117
47	0.567748522
48	0.5675518596
49	0.5672688404
50	0.5670286092
51	0.5668124515
52	0.566596347
53	0.5664117875
54	0.5661997597
55	0.5660565919
56	0.5658896936
57	0.5656890217
58	0.5655378611
59	0.5653871238
60	0.5651922809
61	0.5650765635
62	0.5649358365
63	0.5647846183
64	0.5646304598
65	0.5645264444
66	0.5644267332
67	0.5643038607
68	0.5642051937
69	0.5640566132
70	0.563963226
71	0.5638378267
72	0.5637610764
73	0.563615725
74	0.5634909864
75	0.5633626466
76	0.5632608365
77	0.5631684462
78	0.5630373802
79	0.5629470538
80	0.5628566413
81	0.5627833571
82	0.5626869767
83	0.5625919514
84	0.5625203084
85	0.5624551812
86	0.5623977496
87	0.5623079321
88	0.5622301793
89	0.5621712822
90	0.5620531461
91	0.5619766426
92	0.5619064379
93	0.561819673
94	0.5617711186
95	0.5616861433
96	0.5616135545
97	0.5615332057
98	0.5614836226
99	0.5613976976
100	0.5613327222
101	0.5612602657
102	0.5612061145
103	0.561125193
104	0.5610571246
105	0.5609812686
106	0.5609099045
107	0.5608718599
108	0.5608088482
109	0.5607573437
110	0.5606951653
111	0.5606399343
112	0.5605733062
113	0.5604735847
114	0.560425062
115	0.5603802845
116	0.5603416382
117	0.5602800333
118	0.5602367012
119	0.5601779011
120	0.5601207175
121	0.5600550426
122	0.55998742
123	0.5599603113
124	0.5599208817
125	0.5598722102
126	0.5598065161
127	0.559757691
128	0.5596890369
129	0.5596276384
130	0.5595838746
131	0.5595311924
132	0.5594656411
133	0.5594168348
134	0.5593643883
135	0.5593104311
136	0.5592709638
137	0.5591832629
138	0.5591421081
139	0.5591104168
140	0.5590602543
141	0.5590077959
142	0.558982582
143	0.5589412962
144	0.5589051556
145	0.5588602344
146	0.558811672
147	0.5587539178
148	0.5587232278
149	0.5586990327
150	0.5586624067
151	0.5586124044
152	0.5585594648
153	0.5585336218
154	0.5584851635
155	0.5584256095
156	0.558387954
157	0.5583390469
158	0.5582869616
159	0.5582576553
160	0.5582210513
161	0.5581763407
162	0.5581236098
163	0.5580728873
164	0.5580624297
165	0.5580301562
166	0.5579912798
167	0.5579540912
168	0.5579266103
169	0.5578799777
170	0.5578158838
171	0.5577840822
172	0.5577522024
173	0.5577178274
174	0.5576656961
175	0.5576222347
176	0.5575853212
177	0.5575616597
178	0.5575258698
179	0.5574769558
180	0.5574349591
181	0.5574139206
182	0.5573715223
183	0.5573296621
184	0.5572865307
185	0.5572076242
186	0.5571712104
