iter	Passed	Remaining
0	6	1216
1	12	1161
2	17	1093
3	24	1107
4	29	1082
5	35	1073
6	41	1056
7	47	1056
8	52	1034
9	57	1019
10	62	1001
11	68	1002
12	74	993
13	80	993
14	85	984
15	91	982
16	97	973
17	102	966
18	108	957
19	113	949
20	119	945
21	125	939
22	130	929
23	135	922
24	141	915
25	146	908
26	152	902
27	157	892
28	162	886
29	168	880
30	173	873
31	178	866
32	184	863
33	190	856
34	195	848
35	200	841
36	206	837
37	211	829
38	216	822
39	221	815
40	226	808
41	232	803
42	238	797
43	243	790
44	248	783
45	253	776
46	258	770
47	264	765
48	269	758
49	274	753
50	280	746
51	287	745
52	292	740
53	297	733
54	303	727
55	308	720
56	313	715
57	318	708
58	324	703
59	329	697
60	335	692
61	340	686
62	345	679
63	350	673
64	355	667
65	361	662
66	366	656
67	372	651
68	377	645
69	382	639
70	387	633
71	393	627
72	398	621
73	403	616
74	409	611
75	414	605
76	419	598
77	424	592
78	430	587
79	435	582
80	440	576
81	444	569
82	450	564
83	455	558
84	460	552
85	465	547
86	470	540
87	476	535
88	481	530
89	487	524
90	492	519
91	497	514
92	502	508
93	508	503
94	513	497
95	518	491
96	523	485
97	528	480
98	534	475
99	540	469
100	545	464
101	550	458
102	555	452
103	561	447
104	566	442
105	572	437
106	577	431
107	582	426
108	587	420
109	593	415
110	599	410
111	605	405
112	610	399
113	615	394
114	621	388
115	626	383
116	631	377
117	636	372
118	642	366
119	647	361
120	652	356
121	658	350
122	663	345
123	669	340
124	675	334
125	680	329
126	685	323
127	691	318
128	696	313
129	702	308
130	707	302
131	713	297
132	718	291
133	723	286
134	729	281
135	734	275
136	739	270
137	744	264
138	749	258
139	754	253
140	760	248
141	767	243
142	772	237
143	777	232
144	782	226
145	788	221
146	793	215
147	799	210
148	804	205
149	809	199
150	814	194
151	820	188
152	825	183
153	830	178
154	836	172
155	841	167
156	847	161
157	852	156
158	857	150
159	862	145
160	867	140
161	873	134
162	878	129
163	884	123
164	889	118
165	894	113
166	899	107
167	906	102
168	911	97
169	916	91
170	922	86
171	927	80
172	933	75
173	938	70
174	944	64
175	950	59
176	955	53
177	960	48
178	966	43
179	971	37
180	977	32
181	983	27
182	989	21
183	995	16
184	1001	10
185	1007	5
186	1012	0
