Direction,Type,Target,Max_Depth,Min_Samples_Leaf,Score,Time_s
LONG,Classification,class_target_1,3,1,0.6282028176337457,24.828917980194092
LONG,Classification,class_target_1,3,5,0.6282184868074931,23.40457057952881
LONG,Classification,class_target_1,3,10,0.628231652195818,23.508229970932007
LONG,Classification,class_target_1,3,20,0.6283247716035062,23.63677954673767
LONG,Classification,class_target_1,5,1,0.6561099209488107,36.84626650810242
LONG,Classification,class_target_1,5,5,0.6567739224697089,37.05263113975525
LONG,Classification,class_target_1,5,10,0.6562999879734736,36.85583996772766
LONG,Classification,class_target_1,5,20,0.6569406331410905,37.90603470802307
LONG,Classification,class_target_1,6,1,0.6658938188292585,45.57681393623352
LONG,Classification,class_target_1,6,5,0.6666785286588562,44.76314973831177
LONG,Classification,class_target_1,6,10,0.6680910215673953,43.109153747558594
LONG,Classification,class_target_1,6,20,0.6679446325462264,42.65316462516785
LONG,Classification,class_target_1,8,1,0.6783244311702665,56.488860845565796
LONG,Classification,class_target_1,8,5,0.6788237633086389,55.41456890106201
LONG,Classification,class_target_1,8,10,0.6804526744211739,54.935559034347534
LONG,Classification,class_target_1,8,20,0.6808956849399542,54.37979316711426
LONG,Classification,class_target_1,10,1,0.6812025371671011,68.37410020828247
LONG,Classification,class_target_1,10,5,0.681985207082947,66.96145796775818
LONG,Classification,class_target_1,10,10,0.6855506679403011,64.51245927810669
LONG,Classification,class_target_1,10,20,0.6864223387801177,61.848822832107544
LONG,Classification,class_target_1,15,1,0.6728362100923366,92.61051487922668
LONG,Classification,class_target_1,15,5,0.6838626484065322,84.43679141998291
LONG,Classification,class_target_1,15,10,0.6878672570252082,80.50330805778503
LONG,Classification,class_target_1,15,20,0.6877526536103403,73.32283449172974
LONG,Classification,class_target_2,3,1,0.7006064476862408,33.02201986312866
LONG,Classification,class_target_2,3,5,0.7006050869865146,32.990225076675415
LONG,Classification,class_target_2,3,10,0.7005970860721245,31.901997089385986
LONG,Classification,class_target_2,3,20,0.700554385509008,31.746275186538696
LONG,Classification,class_target_2,5,1,0.7171592611203732,50.19600987434387
LONG,Classification,class_target_2,5,5,0.716977198041024,49.8712694644928
LONG,Classification,class_target_2,5,10,0.7171729886426379,49.90257263183594
LONG,Classification,class_target_2,5,20,0.7172944093437208,49.63514685630798
LONG,Classification,class_target_2,6,1,0.7250356292227682,59.21658277511597
LONG,Classification,class_target_2,6,5,0.7253322040681512,60.52760148048401
LONG,Classification,class_target_2,6,10,0.7249788961205331,58.767674684524536
LONG,Classification,class_target_2,6,20,0.7258535528045071,58.59673857688904
LONG,Classification,class_target_2,8,1,0.733376615296669,77.41019988059998
LONG,Classification,class_target_2,8,5,0.7347425577126436,78.84693765640259
LONG,Classification,class_target_2,8,10,0.735610372423624,75.23705124855042
LONG,Classification,class_target_2,8,20,0.7371264408480871,73.13823413848877
LONG,Classification,class_target_2,10,1,0.736165437154982,93.3173553943634
LONG,Classification,class_target_2,10,5,0.737351194475979,91.57453560829163
LONG,Classification,class_target_2,10,10,0.739971459412307,89.62982392311096
LONG,Classification,class_target_2,10,20,0.7413813777955784,84.6947569847107
LONG,Classification,class_target_2,15,1,0.73037659756331,124.7014832496643
LONG,Classification,class_target_2,15,5,0.736458338166327,114.84583306312561
LONG,Classification,class_target_2,15,10,0.740621766025741,106.867995262146
LONG,Classification,class_target_2,15,20,0.7438394584843143,95.63097476959229
LONG,Classification,class_target_3_corrected,3,1,0.8585146603130493,5.848723888397217
LONG,Classification,class_target_3_corrected,3,5,0.8585141013667885,5.9735426902771
LONG,Classification,class_target_3_corrected,3,10,0.8585138356973694,5.894761800765991
LONG,Classification,class_target_3_corrected,3,20,0.858510116617258,5.960458993911743
LONG,Classification,class_target_3_corrected,5,1,0.8652009544537762,8.047159433364868
LONG,Classification,class_target_3_corrected,5,5,0.8653171643143633,8.026513576507568
LONG,Classification,class_target_3_corrected,5,10,0.8651054886881717,8.056753396987915
LONG,Classification,class_target_3_corrected,5,20,0.8652751718204756,8.016946077346802
LONG,Classification,class_target_3_corrected,6,1,0.8666206753641676,9.027103900909424
LONG,Classification,class_target_3_corrected,6,5,0.8668668898946794,9.091442346572876
LONG,Classification,class_target_3_corrected,6,10,0.866771455270382,8.945170879364014
LONG,Classification,class_target_3_corrected,6,20,0.866508002437268,8.895267486572266
LONG,Classification,class_target_3_corrected,8,1,0.8688384441920818,11.151440858840942
LONG,Classification,class_target_3_corrected,8,5,0.8687395704539813,11.03735637664795
LONG,Classification,class_target_3_corrected,8,10,0.8696095582920702,10.898283004760742
LONG,Classification,class_target_3_corrected,8,20,0.8690127437397429,10.715102434158325
LONG,Classification,class_target_3_corrected,10,1,0.8684819527881021,13.039381504058838
LONG,Classification,class_target_3_corrected,10,5,0.8701123888658259,12.692852258682251
LONG,Classification,class_target_3_corrected,10,10,0.8702118959617557,12.395314693450928
LONG,Classification,class_target_3_corrected,10,20,0.8703180005685232,11.933964014053345
LONG,Classification,class_target_3_corrected,15,1,0.8662404300599743,16.188876628875732
LONG,Classification,class_target_3_corrected,15,5,0.8693658318608527,15.29666018486023
LONG,Classification,class_target_3_corrected,15,10,0.8706399921081494,14.453272819519043
LONG,Classification,class_target_3_corrected,15,20,0.8709086956570852,13.512379169464111
LONG,Classification,class_target_bad,3,1,0.8111833738957319,7.449031352996826
LONG,Classification,class_target_bad,3,5,0.8111657699029221,7.4967041015625
LONG,Classification,class_target_bad,3,10,0.8111584638924005,7.449848890304565
LONG,Classification,class_target_bad,3,20,0.8111398364608536,7.395662307739258
LONG,Classification,class_target_bad,5,1,0.8163885550888974,10.687543869018555
LONG,Classification,class_target_bad,5,5,0.8162590853512791,10.773319959640503
LONG,Classification,class_target_bad,5,10,0.816570920958393,10.751760959625244
LONG,Classification,class_target_bad,5,20,0.8169058287679952,10.479021310806274
LONG,Classification,class_target_bad,6,1,0.8177322407005774,12.215989828109741
LONG,Classification,class_target_bad,6,5,0.8180335127425696,12.313749074935913
LONG,Classification,class_target_bad,6,10,0.8183450575812546,12.017396450042725
LONG,Classification,class_target_bad,6,20,0.8188924930071618,11.778869390487671
