trade_id,timestamp,symbol,direction,status,outcome,risk_tier,margin_allocated,leverage,notional_position,dynamic_tp_pct,dynamic_sl_pct,actual_mfe_pct,actual_mae_pct,gross_return_pct,gross_pnl,fees_paid,slippage_cost,friction_tax,net_pnl,account_equity,drawdown_pct,rejection_reason
1,2026-07-23 09:00:00+00:00,ETHUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.5,3.8,1.88,0.42,0.8,0.12,0.57,1.0,0.02,0.0,0.0,0.0,0.02,100.02,0.0,
2,2026-07-23 09:00:00+00:00,XRPUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.5,3.8,1.88,0.42,0.8,0.11,0.29,1.0,0.02,0.0,0.0,0.0,0.02,100.03,0.0,
3,2026-07-23 09:30:00+00:00,BTCUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.5,3.8,1.88,0.42,0.8,0.09,0.28,5.0,0.09,0.0,0.0,0.0,0.09,100.12,0.0,
4,2026-07-23 09:30:00+00:00,SOLUSDT,LONG,REJECTED,,,,,,,,,,,,,,,0.0,100.12115515635514,,High Risk + Low Quality + Low Profit
5,2026-07-23 09:45:00+00:00,XRPUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.5,3.8,1.88,0.42,0.8,0.11,0.33,1.0,0.02,0.0,0.0,0.0,0.02,100.14,0.0,
6,2026-07-23 11:00:00+00:00,XRPUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.5,3.8,1.88,0.42,0.8,0.0,0.18,1.0,0.02,0.0,0.0,0.0,0.02,100.15,0.0,
7,2026-07-23 11:15:00+00:00,XRPUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.0,3.8,7.51,2.03,0.8,2.93,0.22,2.03,0.15,0.01,0.01,0.01,0.14,100.29,0.0,
8,2026-07-23 11:30:00+00:00,BTCUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.01,3.8,7.52,1.05,0.8,1.38,0.13,1.05,0.08,0.01,0.01,0.01,0.07,100.36,0.0,
9,2026-07-23 12:15:00+00:00,ETHUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.01,3.8,7.53,2.58,0.8,3.1,0.27,2.58,0.19,0.01,0.01,0.01,0.18,100.54,0.0,
10,2026-07-23 12:30:00+00:00,SOLUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,HIGH_RISK,0.5,1.5,0.75,1.61,0.93,1.91,0.83,1.61,0.01,0.0,0.0,0.0,0.01,100.55,0.0,
11,2026-07-23 20:00:00+00:00,BTCUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.5,3.8,1.89,0.42,0.8,0.28,0.34,13.0,0.25,0.0,0.0,0.0,0.24,100.79,0.0,
12,2026-07-23 20:30:00+00:00,XRPUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,1.51,3.8,5.67,0.42,0.8,0.29,0.41,2.0,0.11,0.0,0.01,0.01,0.1,100.89,0.0,
13,2026-07-23 21:30:00+00:00,SOLUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.5,3.8,1.89,0.42,0.8,0.26,0.54,7.0,0.13,0.0,0.0,0.0,0.13,101.02,0.0,
14,2026-07-23 23:45:00+00:00,XRPUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,1.52,3.8,5.68,0.42,0.8,0.35,0.28,3.0,0.17,0.0,0.01,0.01,0.16,101.18,0.0,
15,2026-07-24 00:00:00+00:00,SOLUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,0.51,3.8,1.9,0.48,0.8,0.58,0.51,0.48,0.01,0.0,0.0,0.0,0.01,101.19,0.0,
