trade_id,timestamp,symbol,direction,status,gate_combo_tag,rr_ratio,rejection_reason,outcome,margin_allocated,leverage,notional_position,dynamic_tp_pct,dynamic_sl_pct,actual_mfe_pct,actual_mae_pct,gross_return_pct,gross_pnl,fees_paid,slippage_cost,friction_tax,net_pnl,account_equity,drawdown_pct,shadow_net_pnl,date_utc
1,2026-07-26 22:00:00+00:00,DOGEUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,1.67,None,TIME_CLOSE_EXIT,52.5,1.5,78.75,1.21,0.73,0.55,-0.46,-0.4,-0.31,0.06,0.08,0.14,-0.46,9999.54,0.0,,2026-07-26
2,2026-07-27 01:15:00+00:00,DOGEUSDT,SHORT,REJECTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,0.84,R:R Hurdle Failure: R:R = 0.84 < 1.00,SHADOW_TIME_CLOSE_EXIT,0.0,0.0,0.0,0.56,0.67,0.33,-0.22,-0.03,0.0,0.0,0.0,0.0,0.0,9999.54,0.0,-0.94,2026-07-27
3,2026-07-27 01:30:00+00:00,XRPUSDT,SHORT,EXECUTED,LOW_RISK__LOW_QUAL__LOW_PROFIT,1.87,None,TIME_CLOSE_EXIT,50.0,5.0,249.99,0.86,0.46,0.24,-0.13,-0.22,-0.55,0.2,0.25,0.45,-1.0,9998.54,0.01,,2026-07-27
4,2026-07-27 04:30:00+00:00,XRPUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,2.56,None,TIME_CLOSE_EXIT,52.49,1.5,78.74,0.85,0.33,0.01,-0.26,0.0,0.0,0.06,0.08,0.14,-0.14,9998.4,0.02,,2026-07-27
5,2026-07-27 04:45:00+00:00,XRPUSDT,SHORT,REJECTED,LOW_RISK__LOW_QUAL__LOW_PROFIT,0.98,R:R Hurdle Failure: R:R = 0.98 < 1.00,SHADOW_TIME_CLOSE_EXIT,0.0,0.0,0.0,0.36,0.36,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,9998.4,0.02,-0.45,2026-07-27
6,2026-07-27 05:00:00+00:00,XRPUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,3.49,None,TIME_CLOSE_EXIT,52.49,1.5,78.74,0.93,0.27,0.64,-0.19,-0.05,-0.04,0.06,0.08,0.14,-0.18,9998.22,0.02,,2026-07-27
7,2026-07-27 05:45:00+00:00,DOGEUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,1.56,None,TAKE_PROFIT_HIT,52.49,1.5,78.74,0.69,0.44,0.78,-0.41,0.69,0.55,0.06,0.08,0.14,0.4,9998.62,0.01,,2026-07-27
8,2026-07-27 07:45:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,1.04,None,TIME_CLOSE_EXIT,149.98,5.0,749.9,0.51,0.49,0.19,-0.16,-0.19,-1.42,0.6,0.75,1.35,-2.77,9995.85,0.04,,2026-07-27
9,2026-07-27 08:00:00+00:00,DOGEUSDT,SHORT,REJECTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,0.91,R:R Hurdle Failure: R:R = 0.91 < 1.00,SHADOW_TIME_CLOSE_EXIT,0.0,0.0,0.0,0.74,0.82,0.58,-0.39,-0.22,0.0,0.0,0.0,0.0,0.0,9995.85,0.04,-1.8,2026-07-27
10,2026-07-27 08:00:00+00:00,XRPUSDT,SHORT,EXECUTED,LOW_RISK__LOW_QUAL__LOW_PROFIT,2.15,None,TIME_CLOSE_EXIT,49.98,5.0,249.9,0.8,0.37,0.25,-0.13,-0.1,-0.25,0.2,0.25,0.45,-0.7,9995.15,0.05,,2026-07-27
