trade_id,timestamp,symbol,direction,status,gate_combo_tag,rejection_reason,outcome,margin_allocated,leverage,notional_position,dynamic_tp_pct,dynamic_sl_pct,actual_mfe_pct,actual_mae_pct,gross_return_pct,gross_pnl,fees_paid,slippage_cost,friction_tax,net_pnl,account_equity,drawdown_pct,shadow_net_pnl,date_utc
1,2026-07-26 22:00:00+00:00,DOGEUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,75.0,2.5,187.5,1.21,0.73,0.55,-0.46,-0.4,-0.75,0.15,0.19,0.34,-1.09,9998.91,0.01,,2026-07-26
2,2026-07-27 01:15:00+00:00,DOGEUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,74.99,2.5,187.48,0.56,0.67,0.33,-0.22,-0.03,-0.06,0.15,0.19,0.34,-0.39,9998.52,0.01,,2026-07-27
3,2026-07-27 01:30:00+00:00,XRPUSDT,SHORT,EXECUTED,LOW_RISK__LOW_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,49.99,5.0,249.96,0.86,0.46,0.24,-0.13,-0.22,-0.55,0.2,0.25,0.45,-1.0,9997.52,0.02,,2026-07-27
4,2026-07-27 04:30:00+00:00,XRPUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,74.98,2.5,187.45,0.85,0.33,0.01,-0.26,0.0,0.0,0.15,0.19,0.34,-0.34,9997.18,0.03,,2026-07-27
5,2026-07-27 04:45:00+00:00,XRPUSDT,SHORT,EXECUTED,LOW_RISK__LOW_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,49.99,5.0,249.93,0.36,0.36,0.0,-0.25,0.0,0.0,0.2,0.25,0.45,-0.45,9996.73,0.03,,2026-07-27
6,2026-07-27 05:00:00+00:00,XRPUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,74.98,2.5,187.44,0.93,0.27,0.64,-0.19,-0.05,-0.09,0.15,0.19,0.34,-0.43,9996.3,0.04,,2026-07-27
7,2026-07-27 05:45:00+00:00,DOGEUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__LOW_PROFIT,None,TAKE_PROFIT_HIT,74.97,2.5,187.43,0.69,0.44,0.78,-0.41,0.69,1.3,0.15,0.19,0.34,0.96,9997.26,0.03,,2026-07-27
8,2026-07-27 07:45:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,149.96,5.0,749.79,0.51,0.49,0.19,-0.16,-0.19,-1.42,0.6,0.75,1.35,-2.77,9994.49,0.06,,2026-07-27
9,2026-07-27 08:00:00+00:00,DOGEUSDT,SHORT,EXECUTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,149.92,3.0,449.75,0.74,0.82,0.58,-0.39,-0.22,-0.99,0.36,0.45,0.81,-1.8,9992.69,0.07,,2026-07-27
10,2026-07-27 08:00:00+00:00,XRPUSDT,SHORT,EXECUTED,LOW_RISK__LOW_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,49.96,5.0,249.82,0.8,0.37,0.25,-0.13,-0.1,-0.25,0.2,0.25,0.45,-0.7,9991.99,0.08,,2026-07-27
11,2026-07-27 08:15:00+00:00,SOLUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,149.88,5.0,749.4,0.44,0.56,0.34,-0.05,-0.25,-1.87,0.6,0.75,1.35,-3.22,9988.77,0.11,,2026-07-27
12,2026-07-27 10:30:00+00:00,SOLUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,74.92,2.5,187.29,1.62,0.46,1.11,-0.52,0.37,0.69,0.15,0.19,0.34,0.36,9989.12,0.11,,2026-07-27
13,2026-07-27 10:30:00+00:00,BTCUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,74.92,2.5,187.3,0.56,0.4,0.03,-0.12,-0.24,-0.45,0.15,0.19,0.34,-0.79,9988.34,0.12,,2026-07-27
14,2026-07-27 11:00:00+00:00,XRPUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,74.91,2.5,187.28,0.45,0.32,0.01,-0.27,0.0,0.0,0.15,0.19,0.34,-0.34,9988.0,0.12,,2026-07-27
15,2026-07-27 11:15:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,None,TAKE_PROFIT_HIT,149.82,5.0,749.1,0.41,0.43,0.45,-0.21,0.41,3.06,0.6,0.75,1.35,1.71,9989.71,0.1,,2026-07-27
16,2026-07-27 11:15:00+00:00,XRPUSDT,SHORT,EXECUTED,LOW_RISK__LOW_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,49.95,5.0,249.74,0.82,0.53,0.48,-0.5,-0.73,-1.82,0.2,0.25,0.45,-2.27,9987.43,0.13,,2026-07-27
17,2026-07-27 11:30:00+00:00,ETHUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,149.81,5.0,749.06,0.42,0.54,0.87,-0.23,0.42,3.12,0.6,0.75,1.35,1.77,9989.21,0.11,,2026-07-27
18,2026-07-27 12:45:00+00:00,DOGEUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,37.46,1.0,37.46,0.41,0.96,0.12,-0.23,-0.34,-0.13,0.03,0.04,0.07,-0.19,9989.01,0.11,,2026-07-27
19,2026-07-27 13:15:00+00:00,DOGEUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,74.92,2.5,187.29,1.34,0.56,0.04,-0.33,0.0,0.0,0.15,0.19,0.34,-0.34,9988.68,0.11,,2026-07-27
20,2026-07-27 13:30:00+00:00,DOGEUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,37.46,1.0,37.46,0.59,1.35,0.12,-1.04,-0.66,-0.25,0.03,0.04,0.07,-0.31,9988.36,0.12,,2026-07-27
21,2026-07-27 13:45:00+00:00,BTCUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,74.91,2.5,187.28,0.43,0.42,0.77,-0.05,0.43,0.81,0.15,0.19,0.34,0.47,9988.83,0.11,,2026-07-27
22,2026-07-27 13:45:00+00:00,XRPUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__LOW_PROFIT,None,TAKE_PROFIT_HIT,74.92,2.5,187.29,0.22,0.63,0.54,-0.1,0.22,0.41,0.15,0.19,0.34,0.08,9988.91,0.11,,2026-07-27
23,2026-07-27 14:00:00+00:00,ETHUSDT,LONG,EXECUTED,MED_RISK__LOW_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,24.97,2.5,62.43,0.87,0.63,0.14,-0.41,0.0,0.0,0.05,0.06,0.11,-0.11,9988.79,0.11,,2026-07-27
24,2026-07-27 14:15:00+00:00,ETHUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,74.92,2.5,187.29,1.21,1.27,0.97,-1.43,-0.54,-1.01,0.15,0.19,0.34,-1.35,9987.44,0.13,,2026-07-27
