trade_id,timestamp,symbol,direction,status,gate_combo_tag,rejection_reason,outcome,margin_allocated,leverage,notional_position,dynamic_tp_pct,dynamic_sl_pct,actual_mfe_pct,actual_mae_pct,gross_return_pct,gross_pnl,fees_paid,slippage_cost,friction_tax,net_pnl,account_equity,drawdown_pct,date_utc
1,2026-07-26 22:00:00+00:00,DOGEUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,150.0,3.0,450.0,1.04,0.87,0.55,-0.46,-0.4,-1.8,0.36,0.45,0.81,-2.61,9997.39,0.03,2026-07-26
2,2026-07-27 01:15:00+00:00,DOGEUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,149.96,1.0,149.96,0.54,0.65,0.33,-0.22,-0.03,-0.04,0.12,0.15,0.27,-0.31,9997.08,0.03,2026-07-27
3,2026-07-27 01:30:00+00:00,XRPUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,149.96,1.0,149.96,0.7,0.37,0.24,-0.13,-0.22,-0.33,0.12,0.15,0.27,-0.6,9996.48,0.04,2026-07-27
4,2026-07-27 04:30:00+00:00,XRPUSDT,LONG,EXECUTED,MED_RISK__LOW_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,49.98,1.0,49.98,0.67,0.36,0.01,-0.26,0.0,0.0,0.04,0.05,0.09,-0.09,9996.39,0.04,2026-07-27
5,2026-07-27 04:45:00+00:00,XRPUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,149.95,1.0,149.95,0.32,0.31,0.0,-0.25,0.0,0.0,0.12,0.15,0.27,-0.27,9996.12,0.04,2026-07-27
6,2026-07-27 05:00:00+00:00,XRPUSDT,LONG,EXECUTED,MED_RISK__LOW_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,49.98,1.0,49.98,0.61,0.26,0.64,-0.19,0.61,0.3,0.04,0.05,0.09,0.21,9996.33,0.04,2026-07-27
7,2026-07-27 05:45:00+00:00,DOGEUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,149.94,1.0,149.94,0.68,0.44,0.78,-0.41,0.68,1.02,0.12,0.15,0.27,0.75,9997.08,0.03,2026-07-27
8,2026-07-27 07:45:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,149.96,1.0,149.96,0.43,0.47,0.19,-0.16,-0.19,-0.28,0.12,0.15,0.27,-0.55,9996.52,0.03,2026-07-27
9,2026-07-27 08:00:00+00:00,DOGEUSDT,SHORT,EXECUTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,149.95,3.0,449.84,0.7,0.77,0.58,-0.39,-0.22,-0.99,0.36,0.45,0.81,-1.8,9994.72,0.05,2026-07-27
10,2026-07-27 08:00:00+00:00,XRPUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,149.92,1.0,149.92,0.64,0.41,0.25,-0.13,-0.1,-0.15,0.12,0.15,0.27,-0.42,9994.3,0.06,2026-07-27
